Valor nulo: -9999.9															
Fecha (GMT)	Altura Signif. del Oleaje(m)	Altura signif. de cruce por cero(m)	Periodo Medio(s)	Periodo Medio Tm02(s)	Periodo de Pico(s)	Altura Máxima del Oleaje(m)	Periodo de la Ola Maxima(s)	Canal de obtencion de los datos	Direcc. Media de Proced.(0=N,90=E)	Direccion Media en el Pico Espectral(0=N,90=E)	Dispersión angular en toda la banda resuelta(grados)	Dispersión angular en el pico de energía espectral(grados)	Canal de obtencion de los datos	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2023 01 01 00	0.35	0.34	3.7	3.7	4.2	0.58	-9999.9	3	162	-9999.9	34	-9999.9	3	15.9	3
2023 01 01 01	0.36	0.35	3.7	3.7	5.0	0.57	-9999.9	3	161	-9999.9	36	-9999.9	3	15.9	3
2023 01 01 02	0.37	0.36	3.7	3.7	4.8	0.59	-9999.9	3	166	-9999.9	34	-9999.9	3	15.8	3
2023 01 01 03	0.33	0.32	3.7	3.8	5.0	0.55	-9999.9	3	164	-9999.9	35	-9999.9	3	15.8	3
2023 01 01 04	0.34	0.33	3.8	3.7	4.7	0.54	-9999.9	3	158	-9999.9	36	-9999.9	3	15.8	3
2023 01 01 05	0.32	0.31	3.7	3.6	4.3	0.46	-9999.9	3	157	-9999.9	37	-9999.9	3	15.8	3
2023 01 01 06	0.35	0.34	3.6	3.7	4.3	0.56	-9999.9	3	156	-9999.9	35	-9999.9	3	15.8	3
2023 01 01 07	0.35	0.34	3.8	3.6	4.8	0.58	-9999.9	3	157	-9999.9	34	-9999.9	3	15.8	3
2023 01 01 08	0.36	0.35	3.8	3.8	4.7	0.67	-9999.9	3	155	-9999.9	36	-9999.9	3	15.8	3
2023 01 01 09	0.46	0.45	4.1	4.1	5.1	0.72	-9999.9	3	163	-9999.9	32	-9999.9	3	15.8	3
2023 01 01 10	0.45	0.44	4.1	4.0	4.9	0.67	-9999.9	3	162	-9999.9	34	-9999.9	3	15.8	3
2023 01 01 11	0.46	0.44	4.0	3.9	4.7	0.79	-9999.9	3	160	-9999.9	34	-9999.9	3	15.8	3
2023 01 01 12	0.48	0.47	4.0	3.8	4.7	0.89	-9999.9	3	163	-9999.9	32	-9999.9	3	15.8	3
2023 01 01 13	0.49	0.48	3.9	3.8	4.8	0.88	-9999.9	3	158	-9999.9	34	-9999.9	3	15.8	3
2023 01 01 14	0.51	0.5	4.0	3.8	4.8	0.89	-9999.9	3	158	-9999.9	31	-9999.9	3	15.8	3
2023 01 01 15	0.45	0.45	3.6	3.3	4.7	0.87	-9999.9	3	159	-9999.9	36	-9999.9	3	15.8	3
2023 01 01 16	0.46	0.46	3.5	3.3	4.5	0.75	-9999.9	3	150	-9999.9	35	-9999.9	3	15.8	3
2023 01 01 17	0.46	0.45	3.4	3.2	4.7	0.75	-9999.9	3	150	-9999.9	34	-9999.9	3	15.8	3
2023 01 01 18	0.46	0.46	3.4	3.2	4.4	0.75	-9999.9	3	150	-9999.9	33	-9999.9	3	15.8	3
2023 01 01 19	0.42	0.41	3.1	3.0	4.3	0.63	-9999.9	3	143	-9999.9	37	-9999.9	3	15.8	3
2023 01 01 20	0.39	0.38	3.2	3.0	4.3	0.58	-9999.9	3	140	-9999.9	35	-9999.9	3	15.8	3
2023 01 01 21	0.33	0.32	3.2	3.0	4.3	0.49	-9999.9	3	137	-9999.9	37	-9999.9	3	15.8	3
2023 01 01 22	0.32	0.32	3.2	3.1	4.0	0.49	-9999.9	3	137	-9999.9	32	-9999.9	3	15.8	3
2023 01 01 23	0.31	0.3	3.1	3.1	4.0	0.5	-9999.9	3	131	-9999.9	33	-9999.9	3	15.7	3
2023 01 02 00	0.27	0.26	3.3	3.2	3.9	0.46	-9999.9	3	137	-9999.9	36	-9999.9	3	15.7	3
2023 01 02 01	0.23	0.23	3.1	3.0	3.6	0.37	-9999.9	3	137	-9999.9	39	-9999.9	3	15.7	3
2023 01 02 02	0.25	0.24	3.2	3.1	3.8	0.47	-9999.9	3	137	-9999.9	36	-9999.9	3	15.7	3
2023 01 02 03	0.25	0.24	3.2	3.2	3.7	0.53	-9999.9	3	135	-9999.9	36	-9999.9	3	15.6	3
2023 01 02 04	0.24	0.24	3.4	3.4	3.7	0.36	-9999.9	3	145	-9999.9	34	-9999.9	3	15.6	3
2023 01 02 05	0.25	0.24	3.4	3.3	3.9	0.39	-9999.9	3	145	-9999.9	35	-9999.9	3	15.5	3
2023 01 02 06	0.26	0.25	3.4	3.4	4.0	0.5	-9999.9	3	138	-9999.9	34	-9999.9	3	15.5	3
2023 01 02 07	0.26	0.25	3.3	3.3	4.0	0.42	-9999.9	3	136	-9999.9	34	-9999.9	3	15.6	3
2023 01 02 08	0.29	0.29	3.4	3.4	3.8	0.6	-9999.9	3	133	-9999.9	31	-9999.9	3	15.5	3
2023 01 02 09	0.33	0.32	3.4	3.4	4.3	0.58	-9999.9	3	131	-9999.9	34	-9999.9	3	15.6	3
2023 01 02 10	0.31	0.3	3.4	3.4	4.2	0.48	-9999.9	3	134	-9999.9	34	-9999.9	3	15.5	3
2023 01 02 11	0.33	0.32	3.7	3.6	4.2	0.49	-9999.9	3	141	-9999.9	33	-9999.9	3	15.6	3
2023 01 02 12	0.35	0.34	3.7	3.6	4.3	0.63	-9999.9	3	144	-9999.9	34	-9999.9	3	15.6	3
2023 01 02 13	0.36	0.35	3.7	3.8	4.2	0.55	-9999.9	3	144	-9999.9	33	-9999.9	3	15.6	3
2023 01 02 14	0.36	0.35	3.7	3.8	4.2	0.54	-9999.9	3	139	-9999.9	32	-9999.9	3	15.6	3
2023 01 02 15	0.34	0.34	3.6	3.5	4.1	0.56	-9999.9	3	136	-9999.9	36	-9999.9	3	15.6	3
2023 01 02 16	0.35	0.35	3.5	3.5	4.1	0.57	-9999.9	3	130	-9999.9	36	-9999.9	3	15.6	3
2023 01 02 17	0.36	0.35	3.7	3.7	4.1	0.63	-9999.9	3	129	-9999.9	33	-9999.9	3	15.6	3
2023 01 02 18	0.35	0.35	3.8	3.7	3.8	0.61	-9999.9	3	126	-9999.9	33	-9999.9	3	15.6	3
2023 01 02 19	0.36	0.35	3.9	3.8	3.8	0.63	-9999.9	3	121	-9999.9	31	-9999.9	3	15.6	3
2023 01 02 20	0.39	0.37	4.1	4.2	3.8	0.62	-9999.9	3	110	-9999.9	28	-9999.9	3	15.6	3
2023 01 02 21	0.36	0.35	4.1	4.0	5.3	0.59	-9999.9	3	109	-9999.9	30	-9999.9	3	15.7	3
2023 01 02 22	0.38	0.37	4.3	4.2	5.3	0.76	-9999.9	3	104	-9999.9	28	-9999.9	3	15.6	3
2023 01 02 23	0.34	0.33	4.4	4.3	5.7	0.64	-9999.9	3	107	-9999.9	28	-9999.9	3	15.6	3
2023 01 03 00	0.38	0.37	4.7	4.6	5.6	0.58	-9999.9	3	106	-9999.9	24	-9999.9	3	15.5	3
2023 01 03 01	0.4	0.39	4.9	4.9	5.4	0.7	-9999.9	3	104	-9999.9	23	-9999.9	3	15.6	3
2023 01 03 02	0.47	0.46	5.3	5.3	6.5	0.79	-9999.9	3	103	-9999.9	19	-9999.9	3	15.6	3
2023 01 03 03	0.44	0.43	5.2	5.2	6.7	0.75	-9999.9	3	99	-9999.9	24	-9999.9	3	15.6	3
2023 01 03 04	0.48	0.48	5.4	5.6	6.7	0.79	-9999.9	3	103	-9999.9	23	-9999.9	3	15.6	3
2023 01 03 05	0.44	0.43	5.1	5.0	6.9	0.77	-9999.9	3	103	-9999.9	25	-9999.9	3	15.6	3
2023 01 03 06	0.48	0.47	5.4	5.3	6.9	0.89	-9999.9	3	103	-9999.9	22	-9999.9	3	15.6	3
2023 01 03 07	0.47	0.46	5.5	5.6	6.9	0.75	-9999.9	3	104	-9999.9	23	-9999.9	3	15.6	3
2023 01 03 08	0.51	0.51	5.4	5.4	6.5	0.86	-9999.9	3	104	-9999.9	22	-9999.9	3	15.6	3
2023 01 03 09	0.54	0.52	5.7	5.8	7.4	0.95	-9999.9	3	103	-9999.9	21	-9999.9	3	15.6	3
