date;Startsurfingsession;Surfedday;SurfedLocation;TrackRegister;Comment
2023-01-08;13:42;SI;Cambrils;SI;
2023-01-16;16:07;SI;LaPineda;SI;
2023-01-17;16:16;SI;Barcelona;No;LaPineda
2023-01-20;15:35;SI;LaPineda;;
2023-01-21;13:00;SI;LaPineda;No;
2023-01-25;16:00;SI;LaPineda;;
2023-01-29;13:00;SI;LaPineda;No;
2023-02-06;16:45;SI;CapSalou;;
2023-02-07;15:55;SI;CapSalou;;
2023-02-08;15:17;SI;CapSalou;;
2023-02-09;14:00;SI;Cambrils;;
2023-02-10;13:25;SI;LaPineda;;
2023-02-11;9:31;SI;LaPineda;;
2023-02-12;11:56;SI;LaPineda;;
2023-02-27;14:26;SI;LaPineda;;
2023-02-28;16:39;SI;LaPineda;;
